id,personaadi,senaryo1,senaryo10,senaryo11,senaryo12,senaryo13,senaryo14,senaryo15,senaryo16,senaryo2,senaryo3,senaryo4,senaryo5,senaryo6,senaryo7,senaryo8,senaryo9
31.69,Bilgisayar Mühendisi,A,B,A,C,A,C,D,A,C,C,B,C,B,B,C,C
31.69,Bilgisayar Mühendisi,E,B,B,C,A,B,A,B,D,C,D,D,C,B,A,D
31.69,Doktor,E,E,B,C,A,C,B,A,C,D,B,A,A,C,C,B
31.69,Doktor,E,C,C,C,E,C,B,D,D,C,B,C,C,C,A,B
31.69,Doktor,B,E,B,D,E,C,C,A,C,B,C,C,B,B,A,C
31.69,Bilgisayar Mühendisi,A,B,A,D,D,C,B,D,C,D,D,C,C,B,D,B
31.69,Doktor,A,E,A,C,C,C,C,E,C,D,D,C,C,C,A,B
31.69,Doktor,A,A,A,C,A,C,B,C,B,A,B,E,C,C,A,C
31.69,Bilgisayar Mühendisi,A,E,A,D,A,C,B,C,D,D,D,C,A,C,A,B
31.69,Bilgisayar Mühendisi,A,B,B,C,C,C,B,E,D,D,B,C,C,B,A,B
31.69,Bilgisayar Mühendisi,E,B,B,D,A,D,B,E,C,D,D,C,C,B,A,B
31.69,Bilgisayar Mühendisi,A,E,A,E,D,C,C,C,D,B,D,C,C,B,A,C
31.69,Bilgisayar Mühendisi,A,E,C,C,D,D,B,D,D,D,A,C,B,A,E,D
31.69,Bilgisayar Mühendisi,E,E,A,D,D,C,B,A,E,A,B,E,C,A,A,B
31.69,Bilgisayar Mühendisi,A,C,D,E,D,D,B,A,D,B,B,C,B,B,A,C
31.69,Bilgisayar Mühendisi,A,E,B,D,A,E,B,D,D,A,D,C,C,B,A,B
31.69,Bilgisayar Mühendisi,B,B,D,C,E,C,E,D,D,D,B,C,B,A,A,C
31.69,Bilgisayar Mühendisi,A,E,D,D,A,C,B,D,D,D,D,C,C,C,A,C
31.69,Bilgisayar Mühendisi,A,B,D,B,C,C,C,D,E,C,E,E,B,C,A,B
31.69,Doktor,E,B,C,C,E,C,E,D,D,D,B,C,B,A,A,D
31.69,Bilgisayar Mühendisi,B,E,B,D,E,D,B,C,D,A,D,A,B,C,A,C
31.69,Bilgisayar Mühendisi,D,B,A,C,D,D,B,A,D,A,A,E,A,B,A,B
31.69,Bilgisayar Mühendisi,A,E,A,D,D,E,B,D,D,D,D,C,A,A,B,C
31.69,Doktor,A,B,B,C,A,C,B,A,D,B,D,C,A,B,A,B
31.69,Bilgisayar Mühendisi,A,E,C,B,A,C,B,A,D,C,D,D,C,E,A,C
31.69,Bilgisayar Mühendisi,E,E,A,D,D,C,B,D,D,B,D,C,C,B,A,B
31.69,Bilgisayar Mühendisi,A,C,D,C,E,C,D,B,C,B,D,E,B,C,A,B
31.69,Bilgisayar Mühendisi,E,B,B,C,A,D,B,D,D,B,D,C,C,A,A,C
31.69,Bilgisayar Mühendisi,A,B,C,C,E,C,C,B,D,A,B,A,C,A,A,B
31.69,Bilgisayar Mühendisi,A,B,B,C,A,C,C,B,D,C,B,C,A,A,A,B
31.69,Bilgisayar Mühendisi,A,E,D,A,A,C,B,D,C,A,D,A,A,B,A,C
32.0,Bilgisayar Mühendisi,A,E,A,D,C,D,D,E,D,B,B,C,C,A,A,C
33.0,Bilgisayar Mühendisi,A,E,B,C,D,E,B,A,C,D,D,A,B,C,E,C
34.0,Bilgisayar Mühendisi,B,A,B,B,A,B,B,A,D,D,C,D,B,C,A,B
35.0,Bilgisayar Mühendisi,E,E,A,E,A,C,B,D,D,C,B,A,A,A,A,C
36.0,Bilgisayar Mühendisi,A,A,B,C,A,A,B,A,D,B,D,E,B,C,E,C
37.0,Bilgisayar Mühendisi,A,E,A,C,A,C,B,D,D,A,B,C,C,B,A,C
38.0,Bilgisayar Mühendisi,E,B,A,D,C,C,B,D,B,C,D,A,B,A,C,C
39.0,Bilgisayar Mühendisi,A,B,A,C,C,E,B,C,D,D,D,E,A,A,A,D
40.0,Bilgisayar Mühendisi,E,E,A,E,D,C,C,C,D,C,D,C,A,A,E,C
41.0,Bilgisayar Mühendisi,E,E,B,C,D,C,B,D,C,B,D,A,A,B,E,C
42.0,Bilgisayar Mühendisi,E,B,A,D,A,C,C,D,D,A,D,A,B,B,A,B
43.0,Bilgisayar Mühendisi,E,E,A,D,A,D,C,A,E,A,D,C,C,D,C,B
